EAR,MAR,Pitch,Roll,Yaw,Label0.3101,0.0008,-1.81,3.6,-2.74,Alert
0.3025,0.0011,-1.43,3.66,-2.6,Alert
0.3153,0.0006,-0.95,3.57,-3.01,Alert
0.2993,0.0003,-1.15,3.61,-2.77,Alert
0.3045,0.0007,-0.83,3.62,-3.04,Alert
0.3021,0.0007,-1.0,3.59,-2.65,Alert
0.2993,0.0004,-0.87,3.61,-2.62,Alert
0.2857,0.0002,-1.03,3.68,-2.3,Alert
0.2984,0.0005,-0.77,3.78,-2.72,Alert
0.2959,0.0005,-0.89,3.7,-2.52,Alert
0.3091,0.0014,-0.82,3.65,-2.98,Alert
0.3053,0.0007,-1.33,3.74,-2.92,Alert
0.3053,0.0015,-0.81,3.75,-2.57,Alert
0.2929,0.0005,-0.7,3.64,-2.39,Alert
0.2929,0.0003,-0.94,3.72,-2.57,Alert
0.3021,0.0005,-1.46,3.69,-2.72,Alert
0.2908,0.0011,-0.29,3.71,-2.75,Alert
0.2983,0.0003,-0.79,3.78,-2.51,Alert
0.2991,0.0015,-0.48,3.77,-2.7,Alert
0.2991,0.0029,-0.32,3.74,-2.5,Alert
0.2929,0.0013,-0.6,3.69,-2.9,Alert
0.2991,0.0013,-1.09,3.62,-2.41,Alert
0.2924,0.0011,-0.81,3.65,-2.3,Alert
0.287,0.0017,-0.61,3.63,-2.97,Alert
0.2884,0.0013,-0.52,3.75,-3.18,Alert
0.2933,0.0006,-0.77,3.51,-3.24,Alert
0.2947,0.0006,-0.95,3.71,-3.66,Alert
0.2887,0.0007,-0.76,3.62,-3.5,Alert
0.2887,0.0009,-0.73,3.56,-2.97,Alert
0.271,0.0008,-0.88,3.59,-3.28,Alert
0.271,0.0008,-1.0,3.51,-3.29,Alert
0.2772,0.0009,-0.8,3.35,-3.02,Alert
0.2845,0.0007,-0.74,3.55,-3.47,Alert
0.2849,0.0009,-0.9,3.48,-3.86,Alert
0.2779,0.0007,-0.68,3.46,-4.08,Alert
0.2807,0.0013,-1.04,3.44,-3.84,Alert
0.2799,0.0013,-0.93,3.51,-3.63,Alert
0.2782,0.0017,-0.89,3.53,-3.3,Alert
0.2859,0.0015,-0.95,3.52,-3.66,Alert
0.2831,0.0024,-1.13,3.51,-3.34,Alert
0.2897,0.0019,-1.69,3.53,-3.01,Alert
0.2823,0.0014,-0.93,3.61,-3.31,Alert
0.2785,0.0022,-1.41,3.53,-3.18,Alert
0.2829,0.0019,-1.34,3.55,-4.14,Alert
0.2725,0.0018,-1.13,3.67,-3.91,Alert
0.2782,0.0009,-0.95,3.56,-3.5,Alert
0.2843,0.0005,-0.51,3.52,-3.05,Alert
0.2771,0.0006,-0.76,3.55,-3.37,Alert
0.2779,0.001,-0.8,3.5,-3.45,Alert
0.2672,0.0016,-0.82,3.56,-3.58,Alert
0.2743,0.0016,-0.81,3.69,-4.21,Alert
0.2507,0.0022,-0.83,3.79,-4.84,Alert
0.2364,0.0018,-1.89,3.68,-4.14,Alert
0.23,0.0026,-2.31,3.8,-5.1,Alert
0.2376,0.0014,-2.45,3.71,-4.73,Alert
0.2177,0.0027,-2.55,3.84,-5.23,Alert
0.2117,0.0028,-2.55,3.83,-4.47,Alert
0.2075,0.0028,-2.19,3.83,-5.5,Alert
0.2016,0.0026,-2.59,3.81,-5.6,Alert
0.2186,0.0034,-2.3,3.89,-5.12,Alert
0.2335,0.0037,-1.64,4.1,-6.29,Alert
0.2436,0.0028,-1.69,3.55,-5.44,Alert
0.2607,0.0031,-0.62,3.7,-5.53,Alert
0.2563,0.003,-0.94,3.69,-5.48,Alert
0.2625,0.0033,-0.56,3.74,-5.37,Alert
0.2768,0.0023,-0.77,3.67,-4.66,Alert
0.2805,0.002,-1.1,3.64,-4.76,Alert
0.2811,0.0023,-1.14,3.66,-4.81,Alert
0.2776,0.0012,-0.73,3.64,-4.57,Alert
0.2759,0.0015,-0.33,3.59,-4.33,Alert
0.2776,0.0009,-0.5,3.64,-4.89,Alert
0.2759,0.0014,-0.52,3.62,-4.42,Alert
0.2821,0.0014,-0.51,3.59,-5.07,Alert
0.2815,0.0009,-0.95,3.42,-4.03,Alert
0.2892,0.0012,-0.85,3.59,-3.92,Alert
0.2758,0.0011,-1.06,3.41,-3.63,Alert
0.2808,0.0009,-1.14,3.41,-3.4,Alert
0.2995,0.0017,-0.91,3.57,-3.61,Alert
0.29,0.0018,-0.66,3.59,-3.88,Alert
0.2914,0.0017,-1.18,3.51,-3.8,Alert
0.2952,0.0015,-0.88,3.6,-3.74,Alert
0.2816,0.0016,-1.12,3.49,-3.59,Alert
0.283,0.0011,-1.29,3.52,-3.14,Alert
0.2826,0.0007,-0.82,3.46,-2.95,Alert
0.2863,0.0013,-1.44,3.65,-2.56,Alert
0.2838,0.0011,-1.65,3.64,-2.77,Alert
0.2941,0.0009,-1.49,3.58,-3.38,Alert
0.2911,0.0014,-1.95,3.41,-2.89,Alert
0.2897,0.0005,-1.45,3.42,-2.74,Alert
0.2926,0.001,-1.18,3.41,-3.05,Alert
0.2898,0.0018,-1.19,3.43,-3.07,Alert
0.2981,0.0016,-0.78,3.55,-2.8,Alert
0.2856,0.0013,-1.65,3.43,-2.32,Alert
0.2978,0.0004,-1.06,3.44,-3.13,Alert
0.297,0.0016,-0.97,3.45,-3.0,Alert
0.2776,0.0017,-1.9,3.25,-2.99,Alert
0.2964,0.0019,-1.29,3.28,-2.81,Alert
0.2906,0.0026,-0.8,3.38,-3.11,Alert
0.2794,0.0035,-0.71,3.39,-3.25,Alert
0.276,0.0027,-0.72,3.38,-2.79,Alert
0.276,0.0026,-0.63,3.39,-2.85,Alert
0.2814,0.0018,-0.57,3.28,-2.18,Alert
0.2856,0.0014,-1.02,3.42,-2.37,Alert
0.2758,0.0019,-0.6,3.46,-2.31,Alert
0.2802,0.0014,-1.38,3.49,-2.52,Alert
0.2802,0.0021,-1.66,3.51,-3.09,Alert
0.2744,0.002,-1.99,3.44,-2.55,Alert
